Presented in Figure 2 D and Figure S2 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current clamp recording in SOM INs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Number per 1st pulse (Figure 2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM IN Nr,Control,Baclofen,CGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.85,2.65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.8,4.9,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.75,3.95,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,2.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.75,2.35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4.1,4,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Number 1st pulse 2nd pulse (Figure S2 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,First Pulse,,,,,,,,Second Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOM IN Nr,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,
,Control,1.85,1.05,4.8,4.75,2,2,2.75,4.1,1,1,3.25,3.15,1.95,1.5,1.6,3.3,,,,,,,,,,,,,,,,,,,,,,
,Baclofen,2.65,1,4.9,3.95,3,2.1,2.35,4,1.9,1,3.05,2.05,2,1.8,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,
,CGP,2,,4.45,3.9,2,1,2,3.95,1,,2.75,2,1.9,1,1,2.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Presented in Figure S2 B, C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of APs per pulse step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM IN Nr,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,
Current in pA,Control,,,,,,,Baclofen,,,,,,,CGP,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,1,1,,6,,2,,2,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
30,,3,2,,10,2,2,,3,2,,3,,2,,1,,,,1,2,,,,,,,,,,,,,,,,,,
40,,8,4,,14,3,4,,5,2,,8,,3,,2,,,,2,1,,,,,,,,,,,,,,,,,,
50,,9,4,1,17,9,6,,7,1,,10,,5,,3,1,,2,1,4,,,,,,,,,,,,,,,,,,
60,,13,9,6,18,10,11,,10,2,,15,1,3,5,6,1,,12,2,4,,,,,,,,,,,,,,,,,,
70,,15,7,11,22,11,9,,12,2,,16,2,3,8,7,2,,15,2,4,,,,,,,,,,,,,,,,,,
80,,18,13,15,24,14,12,,15,2,,21,6,6,13,6,5,1,14,2,3,,,,,,,,,,,,,,,,,,
90,1,20,10,19,25,15,15,,15,2,,22,5,5,16,10,6,1,11,3,4,,,,,,,,,,,,,,,,,,
100,4,22,13,21,28,8,14,,20,3,3,23,5,4,20,9,4,2,10,3,4,,,,,,,,,,,,,,,,,,
110,8,25,15,24,29,12,11,,23,5,3,26,4,4,24,11,4,1,14,4,4,,,,,,,,,,,,,,,,,,
120,10,26,19,28,30,9,15,2,23,4,4,26,4,6,29,11,5,1,17,4,3,,,,,,,,,,,,,,,,,,
130,20,27,13,30,33,10,9,,24,5,4,27,4,5,31,14,6,2,15,5,4,,,,,,,,,,,,,,,,,,
140,19,30,10,33,33,6,12,5,29,4,6,30,4,5,34,16,5,2,14,4,4,,,,,,,,,,,,,,,,,,
150,22,30,10,35,34,8,8,8,29,5,5,27,4,6,36,16,4,1,15,5,4,,,,,,,,,,,,,,,,,,
160,26,31,12,38,34,6,10,23,32,6,10,31,4,5,39,18,5,3,10,4,5,,,,,,,,,,,,,,,,,,
170,29,33,8,39,36,7,7,23,26,6,8,33,4,5,43,18,4,3,12,4,5,,,,,,,,,,,,,,,,,,
180,33,34,8,43,36,7,6,24,36,6,8,31,5,4,44,18,5,2,14,4,4,,,,,,,,,,,,,,,,,,
190,35,33,6,44,36,8,5,29,,6,11,34,4,4,46,17,4,2,13,4,4,,,,,,,,,,,,,,,,,,
200,38,,5,45,36,5,9,34,,5,16,26,4,4,48,19,4,2,12,4,4,,,,,,,,,,,,,,,,,,
210,41,,6,47,38,7,5,37,,5,15,22,4,4,51,17,4,2,8,4,4,,,,,,,,,,,,,,,,,,
220,44,,6,49,38,6,5,43,,4,14,27,4,4,54,19,3,3,9,4,4,,,,,,,,,,,,,,,,,,
230,45,,6,51,37,6,8,50,,5,15,25,5,4,55,6,4,2,9,4,4,,,,,,,,,,,,,,,,,,
240,47,,,52,39,6,4,49,,,14,18,4,4,58,,3,2,10,4,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Presented in Figures 2 F (left), S1 C, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
